DRIVER_ID
T20090005427-B
T20090018750-A
T20150016281-B
T20170009803-B
T20100032869-B
T20120020000-C
T20100023427-B
T20120025861-A
T20100037529-A
T20100050395-B
T20170000768-A
T20120002478-A
T20100004294-B
T20110040793-A
T20070034023-B
T20140011481-B
T20100024694-B
T20100021050-B
T20090039523-B
T20180010596-A
T20090044987-B
T20160008727-D
T20150007174-A
T20140003247-A
T20170010691-B
T20060037903-A
T20120018192-A
T20110019958-A
T20180019033-C
T20100011328-A
T20140004563-D
T20170003144-A
T20140021895-A
T20160011156-B
T20170011175-B
T20160004800-A
T20150016192-B
T20160004334-A
T20150017994-A
T20140002409-B
T20080007422-A
T20060003663-B
T20170002763-B
T20110015920-A
T20140005975-A
T20170007525-A
T20190024829-B
T20100005147-A
T20080014829-A
T20150026021-A
T20120027197-A
T20090050176-A
T20100037078-B
T20060027137-A
T20120006225-A
T20160010274-A
T20170004580-C
T20080033122-B
T20110010273-A
T20070010996-A
T20080047733-B
T20060041509-A
T20100036396-B
T20130001574-A
T20180010162-B
T20160020990-A
T20110038726-A
T20080023534-A
T20160027356-B
T20190011535-A
T20170015312-A
T20110028039-A
T20110041191-B
T20070047680-B
T20060009628-A
T20100048494-A
T20160010147-A
T20140011390-A
T20180006080-A
T20060037215-A
T20190017040-B
T20160007271-A
T20120000259-A
T20160018385-A
T20110040297-B
T20190012329-A
T20100034350-B
T20150009089-A
T20200012199-A
T20160013959-A
T20080010104-A
T20190015676-B
T20160006394-B
T20110007668-B
T20130009377-A
T20160015892-A
T20150023251-B
T20110021149-A
T20140023578-A
T20080040536-A
T20100030333-A
T20140006714-A
T20140001916-B
T20080028967-A
T20060043731-A
T20100004104-A
T20130017685-B
T20060018872-J
T20080008434-A
T20150016901-A
T20190017156-A
T20060042825-A
T20120003003-B
T20130006571-A
T20090013364-A
T20110025047-C
T20110041758-A
T20110004850-A
T20200002332-B
T20080029615-C
T20110014146-A
T20080039520-A
T20110034424-A
T20060025316-A
T20200005853-C
T20140015797-C
T20070011191-B
T20090013700-A
T20190022300-B
T20080020713-B
T20140020883-B
T20160008193-A
T20190020196-A
T20070042626-A
T20150002173-B
T20140018445-B
T20090025716-A
T20140001485-A
T20180003648-B
T20200004951-A
T20110039841-B
T20060002045-A
T20110005455-A
T20120006082-A
T20150005350-B
T20080031128-A
T20160005364-B
T20160021825-A
T20140010370-A
T20120026370-A
T20080015631-A
T20110030741-A
T20110030781-A
T20100036781-B
T20070028582-A
T20070029774-A
T20070003147-A
T20150009077-B
T20140022386-B
T20170010938-A
T20100034633-C
T20150009899-A
T20190012255-A
T20190010754-A
T20180006545-B
T20160018059-A
T20110017914-A
T20120009188-B
T20160020094-A
T20190014063-C
T20070030035-A
T20130021328-A
T20170017541-A
T20180006726-B
T20160006708-A
T20110037290-B
T20160012869-C
T20190003670-B
T20200012766-B
T20090038250-A
T20190005002-C
T20200003979-B
T20070041201-A
T20170012682-A
T20140025495-B
T20090028284-A
T20170002987-A
T20110027603-B
T20130017277-A
T20070018277-A
T20150008898-B
T20160006802-A
T20160000627-K
T20100049138-A
T20090044235-B
T20070042271-A
T20060003114-A
T20060029383-B
T20080009577-B
T20080018119-B
T20100003451-A
T20060030500-A
T20080048165-B
T20060026421-A
T20110022627-A
T20170015043-B
T20140025826-B
T20090019567-A
